Dim1Name,Zip,Dim2Name,Dim2Value,Date ,Count,
Zip,10002,Age Group,Ages 0-4 years,3/11/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/12/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/13/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/14/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/15/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/16/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/17/20,2,
Zip,10002,Age Group,Ages 0-4 years,3/18/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/19/20,1,
Zip,10002,Age Group,Ages 0-4 years,3/20/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/21/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/22/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/23/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/24/20,1,
Zip,10002,Age Group,Ages 0-4 years,3/25/20,1,
Zip,10002,Age Group,Ages 0-4 years,3/26/20,0,
Zip,10002,Age Group,Ages 0-4 years,3/27/20,0,
Zip,10002,Age Group,Ages 5-17 years,2/27/20,0,
Zip,10002,Age Group,Ages 5-17 years,2/28/20,0,
Zip,10002,Age Group,Ages 5-17 years,2/29/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/1/20,1,
Zip,10002,Age Group,Ages 5-17 years,3/2/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/3/20,1,
Zip,10002,Age Group,Ages 5-17 years,3/4/20,1,
Zip,10002,Age Group,Ages 5-17 years,3/5/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/6/20,2,
Zip,10002,Age Group,Ages 5-17 years,3/7/20,1,
Zip,10002,Age Group,Ages 5-17 years,3/8/20,1,
Zip,10002,Age Group,Ages 5-17 years,3/9/20,1,
Zip,10002,Age Group,Ages 5-17 years,3/10/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/11/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/12/20,3,
Zip,10002,Age Group,Ages 5-17 years,3/13/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/14/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/15/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/16/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/17/20,1,
Zip,10002,Age Group,Ages 5-17 years,3/18/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/19/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/20/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/21/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/22/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/23/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/24/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/25/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/26/20,0,
Zip,10002,Age Group,Ages 5-17 years,3/27/20,0,
Zip,10002,Age Group,Ages 18-64 years,2/27/20,0,
Zip,10002,Age Group,Ages 18-64 years,2/28/20,0,
Zip,10002,Age Group,Ages 18-64 years,2/29/20,1,
Zip,10002,Age Group,Ages 18-64 years,3/1/20,1,
Zip,10002,Age Group,Ages 18-64 years,3/2/20,4,
Zip,10002,Age Group,Ages 18-64 years,3/3/20,4,
Zip,10002,Age Group,Ages 18-64 years,3/4/20,2,
Zip,10002,Age Group,Ages 18-64 years,3/5/20,2,
Zip,10002,Age Group,Ages 18-64 years,3/6/20,3,
Zip,10002,Age Group,Ages 18-64 years,3/7/20,4,
Zip,10002,Age Group,Ages 18-64 years,3/8/20,2,
Zip,10002,Age Group,Ages 18-64 years,3/9/20,3,
Zip,10002,Age Group,Ages 18-64 years,3/10/20,5,
Zip,10002,Age Group,Ages 18-64 years,3/11/20,9,
Zip,10002,Age Group,Ages 18-64 years,3/12/20,5,
Zip,10002,Age Group,Ages 18-64 years,3/13/20,5,
Zip,10002,Age Group,Ages 18-64 years,3/14/20,4,
Zip,10002,Age Group,Ages 18-64 years,3/15/20,4,
Zip,10002,Age Group,Ages 18-64 years,3/16/20,6,
Zip,10002,Age Group,Ages 18-64 years,3/17/20,9,
Zip,10002,Age Group,Ages 18-64 years,3/18/20,4,
Zip,10002,Age Group,Ages 18-64 years,3/19/20,4,
Zip,10002,Age Group,Ages 18-64 years,3/20/20,3,
Zip,10002,Age Group,Ages 18-64 years,3/21/20,1,
Zip,10002,Age Group,Ages 18-64 years,3/22/20,4,
Zip,10002,Age Group,Ages 18-64 years,3/23/20,7,
Zip,10002,Age Group,Ages 18-64 years,3/24/20,7,
Zip,10002,Age Group,Ages 18-64 years,3/25/20,7,
Zip,10002,Age Group,Ages 18-64 years,3/26/20,5,
Zip,10002,Age Group,Ages 18-64 years,3/27/20,5,
Zip,10002,Age Group,Ages 65+ years,2/27/20,2,
Zip,10002,Age Group,Ages 65+ years,2/28/20,0,
Zip,10002,Age Group,Ages 65+ years,2/29/20,0,
Zip,10002,Age Group,Ages 65+ years,3/1/20,0,
Zip,10002,Age Group,Ages 65+ years,3/2/20,0,
Zip,10002,Age Group,Ages 65+ years,3/3/20,1,
Zip,10002,Age Group,Ages 65+ years,3/4/20,0,
Zip,10002,Age Group,Ages 65+ years,3/5/20,0,
Zip,10002,Age Group,Ages 65+ years,3/6/20,0,
Zip,10002,Age Group,Ages 65+ years,3/7/20,0,
Zip,10002,Age Group,Ages 65+ years,3/8/20,0,
Zip,10002,Age Group,Ages 65+ years,3/9/20,0,
Zip,10002,Age Group,Ages 65+ years,3/10/20,2,
Zip,10002,Age Group,Ages 65+ years,3/11/20,0,
Zip,10002,Age Group,Ages 65+ years,3/12/20,2,
Zip,10002,Age Group,Ages 65+ years,3/13/20,2,
Zip,10002,Age Group,Ages 65+ years,3/14/20,0,
Zip,10002,Age Group,Ages 65+ years,3/15/20,1,
Zip,10002,Age Group,Ages 65+ years,3/16/20,2,
Zip,10002,Age Group,Ages 65+ years,3/17/20,0,
Zip,10002,Age Group,Ages 65+ years,3/18/20,0,
Zip,10002,Age Group,Ages 65+ years,3/19/20,0,
Zip,10002,Age Group,Ages 65+ years,3/20/20,0,
Zip,10002,Age Group,Ages 65+ years,3/21/20,1,
Zip,10002,Age Group,Ages 65+ years,3/22/20,1,
Zip,10002,Age Group,Ages 65+ years,3/23/20,0,
Zip,10002,Age Group,Ages 65+ years,3/24/20,0,
Zip,10002,Age Group,Ages 65+ years,3/25/20,1,
Zip,10002,Age Group,Ages 65+ years,3/26/20,2,
Zip,10002,Age Group,Ages 65+ years,3/27/20,2,
Zip,10003,Age Group,All age groups,2/27/20,1,
Zip,10003,Age Group,All age groups,2/28/20,2,
Zip,10003,Age Group,All age groups,2/29/20,0,
Zip,10003,Age Group,All age groups,3/1/20,1,
Zip,10003,Age Group,All age groups,3/2/20,1,
Zip,10003,Age Group,All age groups,3/3/20,2,
Zip,10003,Age Group,All age groups,3/4/20,1,
Zip,10003,Age Group,All age groups,3/5/20,0,
Zip,10003,Age Group,All age groups,3/6/20,2,
Zip,10003,Age Group,All age groups,3/7/20,2,
Zip,10003,Age Group,All age groups,3/8/20,2,
Zip,10003,Age Group,All age groups,3/9/20,1,
Zip,10003,Age Group,All age groups,3/10/20,4,
Zip,10003,Age Group,All age groups,3/11/20,5,
Zip,10003,Age Group,All age groups,3/12/20,1,
Zip,10003,Age Group,All age groups,3/13/20,0,
Zip,10003,Age Group,All age groups,3/14/20,0,
Zip,10003,Age Group,All age groups,3/15/20,1,
Zip,10003,Age Group,All age groups,3/16/20,2,
Zip,10003,Age Group,All age groups,3/17/20,5,
Zip,10003,Age Group,All age groups,3/18/20,3,
Zip,10003,Age Group,All age groups,3/19/20,3,
Zip,10003,Age Group,All age groups,3/20/20,3,
Zip,10003,Age Group,All age groups,3/21/20,1,
Zip,10003,Age Group,All age groups,3/22/20,3,
Zip,10003,Age Group,All age groups,3/23/20,6,
Zip,10003,Age Group,All age groups,3/24/20,4,
Zip,10003,Age Group,All age groups,3/25/20,1,
Zip,10003,Age Group,All age groups,3/26/20,1,
Zip,10003,Age Group,All age groups,3/27/20,2,
Zip,10003,Age Group,Ages 0-4 years,2/28/20,0,
Zip,10003,Age Group,Ages 0-4 years,2/29/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/1/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/2/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/3/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/4/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/5/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/6/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/7/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/8/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/9/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/10/20,1,
Zip,10003,Age Group,Ages 0-4 years,3/11/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/12/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/14/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/15/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/16/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/17/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/18/20,0,
Zip,10003,Age Group,Ages 0-4 years,3/19/20,0,
